RUN	viade_es5b.PruebaAñadirAmigo	pruebaan-adiramigo	1587660754745	 	3.3.1
REQUEST	10		PruebaAñadirAmigo_2	1587660766938	1587660766943	OK	 
REQUEST	10		PruebaAñadirAmigo_3	1587660767102	1587660767138	OK	 
REQUEST	9		PruebaAñadirAmigo_4	1587660767122	1587660767140	OK	 
REQUEST	9		PruebaAñadirAmigo_5	1587660767141	1587660767144	OK	 
REQUEST	9		PruebaAñadirAmigo_6	1587660767145	1587660767181	OK	 
REQUEST	9		PruebaAñadirAmigo_7	1587660767182	1587660767187	OK	 
REQUEST	10		PruebaAñadirAmigo_4	1587660768145	1587660768151	OK	 
REQUEST	10		PruebaAñadirAmigo_5	1587660768152	1587660768155	OK	 
REQUEST	10		PruebaAñadirAmigo_6	1587660768156	1587660768189	OK	 
REQUEST	10		PruebaAñadirAmigo_7	1587660768189	1587660768193	OK	 
USER	PruebaAñadirAmigo	11	START	1587660768865	1587660768865
REQUEST	11		PruebaAñadirAmigo_0	1587660768866	1587660768910	OK	 
REQUEST	11		PruebaAñadirAmigo_1	1587660768911	1587660768918	OK	 
REQUEST	11		PruebaAñadirAmigo_2	1587660768919	1587660768923	OK	 
REQUEST	11		PruebaAñadirAmigo_3	1587660769094	1587660769126	OK	 
USER	PruebaAñadirAmigo	12	START	1587660769845	1587660769845
REQUEST	12		PruebaAñadirAmigo_0	1587660769846	1587660769892	OK	 
REQUEST	12		PruebaAñadirAmigo_1	1587660769893	1587660769901	OK	 
REQUEST	12		PruebaAñadirAmigo_2	1587660769903	1587660769914	OK	 
REQUEST	12		PruebaAñadirAmigo_3	1587660770082	1587660770119	OK	 
REQUEST	11		PruebaAñadirAmigo_4	1587660770124	1587660770128	OK	 
REQUEST	11		PruebaAñadirAmigo_5	1587660770130	1587660770137	OK	 
REQUEST	11		PruebaAñadirAmigo_6	1587660770138	1587660770169	OK	 
REQUEST	11		PruebaAñadirAmigo_7	1587660770170	1587660770174	OK	 
REQUEST	1		PruebaAñadirAmigo_8	1587660770376	1587660770417	OK	 
REQUEST	1		PruebaAñadirAmigo_9	1587660770418	1587660770423	OK	 
REQUEST	1		PruebaAñadirAmigo_10	1587660770423	1587660770427	OK	 
